Ano,Comunidad,GeneroEspecie,NombreComun,Arribos,Ingresos,PrecioPromedio,CPI
2000,Isla Natividad,Gelidium robustum,Alga gelidium seca,49.11,49.11,6,9.49156
2000,Isla Natividad,Megastraea undosa,Caracol panocha s.c. fco.,400.666,943.461,16.30075188,9.49156
2000,Isla Natividad,Panulirus interruptus,Langosta roja ent. fca.,114.806,6169.123,53.44897959,9.49156
2000,Isla Natividad,Parastichopus parvimensis,Pepino de mar (especies asociadas) ent. fco.,26.942,444.862,19.17948718,9.49156
2001,Isla Natividad,Gelidium robustum,Alga gelidium seca,25.308,25.308,6,6.367737
2001,Isla Natividad,Megastraea undosa,Caracol panocha s.c. fco.,352.499,909.783,17.99082569,6.367737
2001,Isla Natividad,Panulirus interruptus,Langosta roja ent. fca.,116.286,6858.738,58.97777778,6.367737
2001,Isla Natividad,Parastichopus parvimensis,Pepino de mar (especies asociadas) ent. fco.,30.893,679.646,22,6.367737
2001,Isla Natividad,Samicossyphus pulcher,Vieja desv. fca.,0.0891,0.324,4,6.367737
2002,Isla Natividad,Gelidium robustum,Alga gelidium seca,217.416,217.416,6,5.030733
2002,Isla Natividad,Megastraea undosa,Caracol panocha s.c. fco.,381.871,977.644,17.91463415,5.030733
2002,Isla Natividad,Panulirus interruptus,Langosta roja ent. fca.,101.362,6050.855,59.72340426,5.030733
2002,Isla Natividad,Parastichopus parvimensis,Pepino de mar (especies asociadas) ent. fco.,30.447,668.664,21.71698113,5.030733
2003,Isla Natividad,Gelidium robustum,Alga gelidium seca,191.232,161.525,5.052631579,4.546898
2003,Isla Natividad,Megastraea undosa,Caracol panocha s.c. fco.,393.127,1184.379,21.05681818,4.546898
2003,Isla Natividad,Mesocentrotus franciscanus,Erizo rojo ent. fco.,17.071,3317.65,193.5294118,4.546898
2003,Isla Natividad,Panulirus interruptus,Langosta roja ent. fca.,147.982,9808.15,67.472,4.546898
2003,Isla Natividad,Parastichopus parvimensis,Pepino de mar (especies asociadas) ent. fco.,9.904,188.176,19,4.546898
2004,Isla Natividad,Gelidium robustum,Alga gelidium ent. fca.,0.748,3.74,5,4.688407
2004,Isla Natividad,Gelidium robustum,Alga gelidium seca,180.486,150.405,5,4.688407
2004,Isla Natividad,Megastraea undosa,Caracol panocha s.c. fco.,329.28,987.84,21,4.688407
2004,Isla Natividad,Mesocentrotus franciscanus,Erizo rojo ent. fco.,49.597,9138.43,185.5555556,4.688407
2004,Isla Natividad,Panulirus interruptus,Langosta roja ent. fca.,124.437,10078.325,81.21794872,4.688407
2004,Isla Natividad,Parastichopus parvimensis,Pepino de mar (especies asociadas) ent. fco.,45.057,856.613,19.03225806,4.688407
2004,Isla Natividad,Paralabrax nebulifer,Verdillo desv. fco.,0.0935,0.425,5,4.688407
2005,Isla Natividad,Gelidium robustum,Alga gelidium seca,240.792,200.66,5,3.988061
2005,Isla Natividad,Megastraea undosa,Caracol panocha s.c. fco.,279.853,879.538,22,3.988061
2005,Isla Natividad,Mesocentrotus franciscanus,Erizo rojo ent. fco.,56.173,10672.87,190,3.988061
2005,Isla Natividad,Panulirus interruptus,Langosta roja ent. fca.,117.285,9944.225,84.83108108,3.988061
2005,Isla Natividad,Parastichopus parvimensis,Pepino de mar (especies asociadas) ent. fco.,54.813,1041.447,19,3.988061
2006,Isla Natividad,Gelidium robustum,Alga gelidium seca,148.656,123.88,5,3.629463
2006,Isla Natividad,Megastraea undosa,Caracol panocha s.c. fco.,277.571,952.817,22.92647059,3.629463
2006,Isla Natividad,Mesocentrotus franciscanus,Erizo rojo ent. fco.,33.024,6274.56,190,3.629463
2006,Isla Natividad,Panulirus interruptus,Langosta roja ent. fca.,136.62,11600.145,84.92907801,3.629463
2006,Isla Natividad,Parastichopus parvimensis,Pepino de mar (especies asociadas) ent. fco.,27.237,517.503,19,3.629463
2006,Isla Natividad,Paralabrax nebulifer,Verdillo desv. fco.,0.0385,0.245,7,3.629463
2006,Isla Natividad,Samicossyphus pulcher,Vieja desv. fca.,14.1867,128.97,10,3.629463
2007,Isla Natividad,Gelidium robustum,Alga gelidium ent. fca.,3.245,17.16605,5.29,3.96685
2007,Isla Natividad,Gelidium robustum,Alga gelidium seca,168.03,146.70438,5.24,3.96685
2007,Isla Natividad,Megastraea undosa,Caracol panocha s.c. fco.,264.257,887.13285,23.71519481,3.96685
2007,Isla Natividad,Mesocentrotus franciscanus,Erizo rojo ent. fco.,11.1,2109,190,3.96685
2007,Isla Natividad,Panulirus interruptus,Langosta roja ent. fca.,89.202,7582.17,85,3.96685
2007,Isla Natividad,Parastichopus parvimensis,Pepino de mar (especies asociadas) ent. fco.,38.078,724.67016,19.0315493,3.96685
2007,Isla Natividad,Samicossyphus pulcher,Vieja desv. fca.,0.5588,4.572,9,3.96685
2008,Isla Natividad,Gelidium robustum,Alga gelidium ent. fca.,3.033,18.198,6,5.124982
2008,Isla Natividad,Gelidium robustum,Alga gelidium seca,126.582,110.589,5.1,5.124982
2008,Isla Natividad,Megastraea undosa,Caracol panocha s.c. fco.,218.141,685.21,21.975,5.124982
2008,Isla Natividad,Mesocentrotus franciscanus,Erizo rojo ent. fco.,6.827,1297.13,190,5.124982
2008,Isla Natividad,Panulirus interruptus,Langosta roja ent. fca.,147.093,23552.275,137.6984127,5.124982
2008,Isla Natividad,Parastichopus parvimensis,Pepino de mar (especies asociadas) ent. fco.,49.879,997.58,20,5.124982
2008,Isla Natividad,Samicossyphus pulcher,Vieja desv. fca.,0.011,0.1,10,5.124982
2009,Isla Natividad,Gelidium robustum,Alga gelidium ent. fca.,10.911,55.819,5.25,5.297357
2009,Isla Natividad,Gelidium robustum,Alga gelidium seca,275.778,259.506,5.642857143,5.297357
2009,Isla Natividad,Megastraea undosa,Caracol panocha s.c. fco.,193.396,602.198,21.66666667,5.297357
2009,Isla Natividad,Panulirus interruptus,Langosta roja ent. fca.,123.429,24685.8,200,5.297357
2009,Isla Natividad,Parastichopus parvimensis,Pepino de mar (especies asociadas) ent. fco.,59.794,1195.88,20,5.297357
2009,Isla Natividad,Paralabrax nebulifer,Verdillo desv. fco.,4.3241,21.263,5.846153846,5.297357
2009,Isla Natividad,Samicossyphus pulcher,Vieja desv. fca.,10.2487,93.17,10,5.297357
2010,Isla Natividad,Gelidium robustum,Alga gelidium seca,25.806,21.505,5,4.156728
2010,Isla Natividad,Megastraea undosa,Caracol panocha s.c. fco.,278.663,875.798,22,4.156728
2010,Isla Natividad,Panulirus interruptus,Langosta roja ent. fca.,76.413,15282.6,200,4.156728
2010,Isla Natividad,Parastichopus parvimensis,Pepino de mar (especies asociadas) ent. fco.,37.512,1125.36,30,4.156728
2010,Isla Natividad,Paralabrax nebulifer,Verdillo desv. fco.,1.6896,9.216,6,4.156728
2010,Isla Natividad,Samicossyphus pulcher,Vieja desv. fca.,2.3672,23.908,10.6,4.156728
2011,Isla Natividad,Gelidium robustum,Alga gelidium seca,312.852,260.71,5,3.40738
2011,Isla Natividad,Megastraea undosa,Caracol panocha s.c. fco.,389.053,1222.738,22,3.40738
2011,Isla Natividad,Panulirus interruptus,Langosta roja ent. fca.,123.264,24652.8,200,3.40738
2011,Isla Natividad,Parastichopus parvimensis,Pepino de mar (especies asociadas) ent. fco.,39.622,792.44,20,3.40738
2011,Isla Natividad,Paralabrax nebulifer,Verdillo desv. fco.,2.2297,12.162,6,3.40738
2011,Isla Natividad,Samicossyphus pulcher,Vieja desv. fca.,0.2167,1.97,10,3.40738
2012,Isla Natividad,Gelidium robustum,Alga gelidium seca,156.912,130.76,5,4.111508
2012,Isla Natividad,Megastraea undosa,Caracol panocha s.c. fco.,395.563,1243.198,22,4.111508
2012,Isla Natividad,Panulirus interruptus,Langosta roja ent. fca.,173.282,34597.672,199.483871,4.111508
2012,Isla Natividad,Parastichopus parvimensis,Pepino de mar (especies asociadas) ent. fco.,51.204,1024.08,20,4.111508
2012,Isla Natividad,Paralabrax nebulifer,Verdillo desv. fco.,6.4823,59.94,9.80952381,4.111508
2012,Isla Natividad,Samicossyphus pulcher,Vieja desv. fca.,1.2287,13.58,11.8,4.111508
2013,Isla Natividad,Gelidium robustum,Alga gelidium ent. fca.,6.155,30.775,5,3.80639
2013,Isla Natividad,Gelidium robustum,Alga gelidium seca,796.626,663.855,5,3.80639
2013,Isla Natividad,Megastraea undosa,Caracol panocha s.c. fco.,204.946,644.116,22,3.80639
2013,Isla Natividad,Panulirus interruptus,Langosta roja ent. fca.,131.47,26294,200,3.80639
2013,Isla Natividad,Parastichopus parvimensis,Pepino de mar (especies asociadas) ent. fco.,27.104,542.08,20,3.80639
2013,Isla Natividad,Paralabrax nebulifer,Verdillo desv. fco.,2.5806,27.57,11.5,3.80639
2013,Isla Natividad,Samicossyphus pulcher,Vieja desv. fca.,0.22,2,10,3.80639
2014,Isla Natividad,Gelidium robustum,Alga gelidium ent. fca.,51.023,269.91167,5.29,4.018617
2014,Isla Natividad,Gelidium robustum,Alga gelidium seca,345.522,304.63523,5.29,4.018617
2014,Isla Natividad,Megastraea undosa,Caracol panocha s.c. fco.,259.567,815.782,22,4.018617
2014,Isla Natividad,Panulirus interruptus,Langosta roja ent. fca.,176.22978,35009.778,199.122807,4.018617
2014,Isla Natividad,Parastichopus parvimensis,Pepino de mar (especies asociadas) ent. fco.,28.992,579.84,20,4.018617
2014,Isla Natividad,Paralabrax nebulifer,Verdillo desv. fco.,2.5267,20.412,10.5,4.018617
2014,Isla Natividad,Samicossyphus pulcher,Vieja desv. fca.,0.0044,0.048,12,4.018617
